,Company,Job,Experience,Salary,Location,Skills
25,IBM India Pvt. Limited,AI Engineer,1-5 Yrs,N/A,Bengaluru/Bangalore,"Azure, cloud platforms, Data Science"
26,Accenture,Edge Computing Application Lead,8-10 Yrs,₹ 11.2 - 15L/yr (AmbitionBox estimate),Bengaluru/Bangalore,"Analytical skills, data science, Consulting"
27,Accenture,ACN - Applied Intelligence - Finance - Data Science - 09,3-5 Yrs,N/A,Bengaluru/Bangalore,"Computer science, Data analysis, Publishing"
28,Ford,Data Scientist,2-7 Yrs,₹ 15.16581 - 13.25L/yr (AmbitionBox estimate),Chennai,"Data Science, Predictive Modeling, python"
29,Ericsson,Looking out For Data Analytics,10-15 Yrs,₹ 15 - 25L/yr,Bengaluru/Bangalore,"analytics, Data Science, data analytics"
30,IBM India Pvt. Limited,AI Engineer,1-5 Yrs,N/A,Bengaluru/Bangalore,"Azure, solution architectures, machine learning"
31,IBM India Pvt. Limited,AI Engineer,1-5 Yrs,N/A,Bengaluru/Bangalore,"Azure, Data Science Artificial Intelligence, machine learning"
32,IBM India Pvt. Limited,AI Engineer,1-5 Yrs,N/A,Bengaluru/Bangalore,"Azure, cloud platforms, Data Science"
33,Accenture,Edge Computing Application Lead,8-10 Yrs,₹ 11.2 - 15L/yr (AmbitionBox estimate),Bengaluru/Bangalore,"Analytical skills, data science, Consulting"
34,Accenture,ACN - Applied Intelligence - Finance - Data Science - 09,3-5 Yrs,N/A,Bengaluru/Bangalore,"Computer science, Data analysis, Publishing"
35,Accenture,Edge Computing Application Lead,6-8 Yrs,N/A,Bengaluru/Bangalore,"Analytical skills, data science, Consulting"
36,Ford,Data Scientist,2-7 Yrs,₹ 15.16581 - 13.25L/yr (AmbitionBox estimate),Chennai,"Data Science, Predictive Modeling, python"
37,Ericsson,Looking out For Data Analytics,10-15 Yrs,₹ 15 - 25L/yr,Bengaluru/Bangalore,"analytics, Data Science, data analytics"
38,IBM India Pvt. Limited,AI Engineer,1-5 Yrs,N/A,Bengaluru/Bangalore,"Azure, solution architectures, machine learning"
39,IBM India Pvt. Limited,AI Engineer,1-5 Yrs,N/A,Bengaluru/Bangalore,"Azure, Data Science Artificial Intelligence, machine learning"
40,IBM India Pvt. Limited,AI Engineer,1-5 Yrs,N/A,Bengaluru/Bangalore,"Azure, cloud platforms, Data Science"
41,Accenture,Edge Computing Application Lead,8-10 Yrs,₹ 11.2 - 15L/yr (AmbitionBox estimate),Bengaluru/Bangalore,"Analytical skills, data science, Consulting"
42,Accenture,ACN - Applied Intelligence - Finance - Data Science - 09,3-5 Yrs,N/A,Bengaluru/Bangalore,"Computer science, Data analysis, Publishing"
43,Accenture,Edge Computing Application Lead,6-8 Yrs,N/A,Bengaluru/Bangalore,"Analytical skills, data science, Consulting"
44,Mondel z International,"Manager, Data Science",4-8 Yrs,N/A,Mumbai,"Analytics, SQL, C++"
45,Ford,Data Scientist,2-7 Yrs,₹ 15.16581 - 13.25L/yr (AmbitionBox estimate),Chennai,"Data Science, Predictive Modeling, python"
46,Ericsson,Looking out For Data Analytics,10-15 Yrs,₹ 15 - 25L/yr,Bengaluru/Bangalore,"analytics, Data Science, data analytics"
47,IBM India Pvt. Limited,AI Engineer,1-5 Yrs,N/A,Bengaluru/Bangalore,"Azure, solution architectures, machine learning"
48,IBM India Pvt. Limited,AI Engineer,1-5 Yrs,N/A,Bengaluru/Bangalore,"Azure, Data Science Artificial Intelligence, machine learning"
49,IBM India Pvt. Limited,AI Engineer,1-5 Yrs,N/A,Bengaluru/Bangalore,"Azure, cloud platforms, Data Science"
50,Accenture,Edge Computing Application Lead,8-10 Yrs,₹ 11.2 - 15L/yr (AmbitionBox estimate),Bengaluru/Bangalore,"Analytical skills, data science, Consulting"
51,Accenture,ACN - Applied Intelligence - Finance - Data Science - 09,3-5 Yrs,N/A,Bengaluru/Bangalore,"Computer science, Data analysis, Publishing"
52,Accenture,Edge Computing Application Lead,6-8 Yrs,N/A,Bengaluru/Bangalore,"Analytical skills, data science, Consulting"
53,Mondel z International,"Manager, Data Science",4-8 Yrs,N/A,Mumbai,"Analytics, SQL, C++"
54,Mondelez India Foods Private Limited,"Manager, Data Science",6-11 Yrs,N/A,Mumbai,"Analytics, SQL, C++"
55,Accenture Solutions Pvt Ltd,Marketing Professional - 09,4-5 Yrs,N/A,Bengaluru/Bangalore,"Journey Analytics, customer analytics, NLP"
56,Accenture Solutions Pvt Ltd,Marketing Professional - 09,4-5 Yrs,N/A,Bengaluru/Bangalore,"Journey Analytics, customer analytics, NLP"
57,Accenture Solutions Pvt Ltd,Computer Vision Application Lead,8-10 Yrs,₹ 11.2 - 15L/yr (AmbitionBox estimate),Bengaluru/Bangalore,"deep learning, Image processing, data science"
58,Accenture Solutions Pvt Ltd,Marketing Professional - 09,4-5 Yrs,N/A,Bengaluru/Bangalore,"Journey Analytics, customer analytics, NLP"
59,Accenture Solutions Pvt Ltd,Computer Vision Application Lead,8-10 Yrs,₹ 11.2 - 15L/yr (AmbitionBox estimate),Bengaluru/Bangalore,"deep learning, Image processing, data science"
60,Accenture Solutions Pvt Ltd,Marketing / Data Science - Professional,2-3 Yrs,N/A,Bengaluru/Bangalore,"Fallback Management, NLP, data science"
61,Accenture Solutions Pvt Ltd,Marketing Professional - 09,4-5 Yrs,N/A,Bengaluru/Bangalore,"Journey Analytics, customer analytics, NLP"
62,Accenture Solutions Pvt Ltd,Computer Vision Application Lead,8-10 Yrs,₹ 11.2 - 15L/yr (AmbitionBox estimate),Bengaluru/Bangalore,"deep learning, Image processing, data science"
63,Accenture Solutions Pvt Ltd,Marketing / Data Science - Professional,2-3 Yrs,N/A,Bengaluru/Bangalore,"Fallback Management, NLP, data science"
64,ADP Pvt. Ltd.,ASTRA BPM Professional,6-10 Yrs,N/A,Hyderabad/Secunderabad,"Equity, big data analytics, Focus"
65,Accenture Solutions Pvt Ltd,Marketing Professional - 09,4-5 Yrs,N/A,Bengaluru/Bangalore,"Journey Analytics, customer analytics, NLP"
66,Accenture Solutions Pvt Ltd,Computer Vision Application Lead,8-10 Yrs,₹ 11.2 - 15L/yr (AmbitionBox estimate),Bengaluru/Bangalore,"deep learning, Image processing, data science"
67,Accenture Solutions Pvt Ltd,Marketing / Data Science - Professional,2-3 Yrs,N/A,Bengaluru/Bangalore,"Fallback Management, NLP, data science"
68,ADP Pvt. Ltd.,ASTRA BPM Professional,6-10 Yrs,N/A,Hyderabad/Secunderabad,"Equity, big data analytics, Focus"
69,Accenture Solutions Pvt Ltd,Marketing - 07,8-10 Yrs,N/A,Bengaluru/Bangalore,"customer analytics, data science, Programming"
70,Accenture Solutions Pvt Ltd,Marketing Professional - 09,4-5 Yrs,N/A,Bengaluru/Bangalore,"Journey Analytics, customer analytics, NLP"
71,Accenture Solutions Pvt Ltd,Computer Vision Application Lead,8-10 Yrs,₹ 11.2 - 15L/yr (AmbitionBox estimate),Bengaluru/Bangalore,"deep learning, Image processing, data science"
72,Accenture Solutions Pvt Ltd,Marketing / Data Science - Professional,2-3 Yrs,N/A,Bengaluru/Bangalore,"Fallback Management, NLP, data science"
73,ADP Pvt. Ltd.,ASTRA BPM Professional,6-10 Yrs,N/A,Hyderabad/Secunderabad,"Equity, big data analytics, Focus"
74,Accenture Solutions Pvt Ltd,Marketing - 07,8-10 Yrs,N/A,Bengaluru/Bangalore,"customer analytics, data science, Programming"
75,Accenture Solutions Pvt Ltd,Data Science Analytics Sr Analyst - Data Science,5-8 Yrs,N/A,Mumbai,"Data Science, Publishing, data science"
76,Accenture Solutions Pvt Ltd,Marketing Professional - 09,4-5 Yrs,N/A,Bengaluru/Bangalore,"Journey Analytics, customer analytics, NLP"
77,Accenture Solutions Pvt Ltd,Computer Vision Application Lead,8-10 Yrs,₹ 11.2 - 15L/yr (AmbitionBox estimate),Bengaluru/Bangalore,"deep learning, Image processing, data science"
78,Accenture Solutions Pvt Ltd,Marketing / Data Science - Professional,2-3 Yrs,N/A,Bengaluru/Bangalore,"Fallback Management, NLP, data science"
79,ADP Pvt. Ltd.,ASTRA BPM Professional,6-10 Yrs,N/A,Hyderabad/Secunderabad,"Equity, big data analytics, Focus"
80,Accenture Solutions Pvt Ltd,Marketing - 07,8-10 Yrs,N/A,Bengaluru/Bangalore,"customer analytics, data science, Programming"
81,Accenture Solutions Pvt Ltd,Data Science Analytics Sr Analyst - Data Science,5-8 Yrs,N/A,Mumbai,"Data Science, Publishing, data science"
82,Accenture Solutions Pvt Ltd,Microsoft Power BI Application Lead,6-8 Yrs,N/A,Mumbai,"R, Excel, Power BI"
83,Accenture Solutions Pvt Ltd,Marketing Professional - 09,4-5 Yrs,N/A,Bengaluru/Bangalore,"Journey Analytics, customer analytics, NLP"
84,Accenture Solutions Pvt Ltd,Computer Vision Application Lead,8-10 Yrs,₹ 11.2 - 15L/yr (AmbitionBox estimate),Bengaluru/Bangalore,"deep learning, Image processing, data science"
85,Accenture Solutions Pvt Ltd,Marketing / Data Science - Professional,2-3 Yrs,N/A,Bengaluru/Bangalore,"Fallback Management, NLP, data science"
86,ADP Pvt. Ltd.,ASTRA BPM Professional,6-10 Yrs,N/A,Hyderabad/Secunderabad,"Equity, big data analytics, Focus"
87,Accenture Solutions Pvt Ltd,Marketing - 07,8-10 Yrs,N/A,Bengaluru/Bangalore,"customer analytics, data science, Programming"
88,Accenture Solutions Pvt Ltd,Data Science Analytics Sr Analyst - Data Science,5-8 Yrs,N/A,Mumbai,"Data Science, Publishing, data science"
89,Accenture Solutions Pvt Ltd,Microsoft Power BI Application Lead,6-8 Yrs,N/A,Mumbai,"R, Excel, Power BI"
90,Accenture Solutions Pvt Ltd,Marketing - 11,2-3 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Fallback Management, Node.js"
91,Accenture Solutions Pvt Ltd,Marketing Professional - 09,4-5 Yrs,N/A,Bengaluru/Bangalore,"Journey Analytics, customer analytics, NLP"
92,Accenture Solutions Pvt Ltd,Computer Vision Application Lead,8-10 Yrs,₹ 11.2 - 15L/yr (AmbitionBox estimate),Bengaluru/Bangalore,"deep learning, Image processing, data science"
93,Accenture Solutions Pvt Ltd,Marketing / Data Science - Professional,2-3 Yrs,N/A,Bengaluru/Bangalore,"Fallback Management, NLP, data science"
94,ADP Pvt. Ltd.,ASTRA BPM Professional,6-10 Yrs,N/A,Hyderabad/Secunderabad,"Equity, big data analytics, Focus"
95,Accenture Solutions Pvt Ltd,Marketing - 07,8-10 Yrs,N/A,Bengaluru/Bangalore,"customer analytics, data science, Programming"
96,Accenture Solutions Pvt Ltd,Data Science Analytics Sr Analyst - Data Science,5-8 Yrs,N/A,Mumbai,"Data Science, Publishing, data science"
97,Accenture Solutions Pvt Ltd,Microsoft Power BI Application Lead,6-8 Yrs,N/A,Mumbai,"R, Excel, Power BI"
98,Accenture Solutions Pvt Ltd,Marketing - 11,2-3 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Fallback Management, Node.js"
99,Accenture Solutions Pvt Ltd,Marketing - 11,2-3 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Fallback Management, Node.js"
100,Accenture Solutions Pvt Ltd,Marketing Professional - 09,4-5 Yrs,N/A,Bengaluru/Bangalore,"Journey Analytics, customer analytics, NLP"
101,Accenture Solutions Pvt Ltd,Computer Vision Application Lead,8-10 Yrs,₹ 11.2 - 15L/yr (AmbitionBox estimate),Bengaluru/Bangalore,"deep learning, Image processing, data science"
102,Accenture Solutions Pvt Ltd,Marketing / Data Science - Professional,2-3 Yrs,N/A,Bengaluru/Bangalore,"Fallback Management, NLP, data science"
103,ADP Pvt. Ltd.,ASTRA BPM Professional,6-10 Yrs,N/A,Hyderabad/Secunderabad,"Equity, big data analytics, Focus"
104,Accenture Solutions Pvt Ltd,Marketing - 07,8-10 Yrs,N/A,Bengaluru/Bangalore,"customer analytics, data science, Programming"
105,Accenture Solutions Pvt Ltd,Data Science Analytics Sr Analyst - Data Science,5-8 Yrs,N/A,Mumbai,"Data Science, Publishing, data science"
106,Accenture Solutions Pvt Ltd,Microsoft Power BI Application Lead,6-8 Yrs,N/A,Mumbai,"R, Excel, Power BI"
107,Accenture Solutions Pvt Ltd,Marketing - 11,2-3 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Fallback Management, Node.js"
108,Accenture Solutions Pvt Ltd,Marketing - 11,2-3 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Fallback Management, Node.js"
109,Accenture Solutions Pvt Ltd,Analytics and Modeling Associate Manager,2-6 Yrs,N/A,Mumbai,"UI/UX design, Automation, Adobe XD"
110,Accenture Solutions Pvt Ltd,Research Senior Analyst,2-5 Yrs,₹ 2.6 - 20L/yr (AmbitionBox estimate),Bengaluru/Bangalore,"Data analysis, Operations research, data analysis"
111,Accenture Solutions Pvt Ltd,Research Senior Analyst,2-5 Yrs,₹ 2.6 - 20L/yr (AmbitionBox estimate),Bengaluru/Bangalore,"Data analysis, Operations research, data analysis"
112,Accenture Solutions Pvt Ltd,Analytics and Modeling Specialist,5-10 Yrs,N/A,Bengaluru/Bangalore,"python, data analytics, data science"
113,Accenture Solutions Pvt Ltd,Research Senior Analyst,2-5 Yrs,₹ 2.6 - 20L/yr (AmbitionBox estimate),Bengaluru/Bangalore,"Data analysis, Operations research, data analysis"
114,Accenture Solutions Pvt Ltd,Analytics and Modeling Specialist,5-10 Yrs,N/A,Bengaluru/Bangalore,"python, data analytics, data science"
115,Accenture Solutions Pvt Ltd,Marketing - 11,2-3 Yrs,N/A,Bengaluru/Bangalore,"Fallback Management, data science, Node.js"
116,Accenture Solutions Pvt Ltd,Research Senior Analyst,2-5 Yrs,₹ 2.6 - 20L/yr (AmbitionBox estimate),Bengaluru/Bangalore,"Data analysis, Operations research, data analysis"
117,Accenture Solutions Pvt Ltd,Analytics and Modeling Specialist,5-10 Yrs,N/A,Bengaluru/Bangalore,"python, data analytics, data science"
118,Accenture Solutions Pvt Ltd,Marketing - 11,2-3 Yrs,N/A,Bengaluru/Bangalore,"Fallback Management, data science, Node.js"
119,American Express Company,Manager -Data Science,2-6 Yrs,N/A,Gurgaon/Gurugram,"Project management, SQL, Oracle"
120,Accenture Solutions Pvt Ltd,Research Senior Analyst,2-5 Yrs,₹ 2.6 - 20L/yr (AmbitionBox estimate),Bengaluru/Bangalore,"Data analysis, Operations research, data analysis"
121,Accenture Solutions Pvt Ltd,Analytics and Modeling Specialist,5-10 Yrs,N/A,Bengaluru/Bangalore,"python, data analytics, data science"
122,Accenture Solutions Pvt Ltd,Marketing - 11,2-3 Yrs,N/A,Bengaluru/Bangalore,"Fallback Management, data science, Node.js"
123,American Express Company,Manager -Data Science,2-6 Yrs,N/A,Gurgaon/Gurugram,"Project management, SQL, Oracle"
124,Accenture Solutions Pvt Ltd,PPSM Sr Analyst-Reporting,5-8 Yrs,₹ 3.8 - 17.85L/yr (AmbitionBox estimate),Gurgaon/Gurugram,"SAP, Microsoft Power BI, predictive analytics"
125,Accenture Solutions Pvt Ltd,Research Senior Analyst,2-5 Yrs,₹ 2.6 - 20L/yr (AmbitionBox estimate),Bengaluru/Bangalore,"Data analysis, Operations research, data analysis"
126,Accenture Solutions Pvt Ltd,Analytics and Modeling Specialist,5-10 Yrs,N/A,Bengaluru/Bangalore,"python, data analytics, data science"
127,Accenture Solutions Pvt Ltd,Marketing - 11,2-3 Yrs,N/A,Bengaluru/Bangalore,"Fallback Management, data science, Node.js"
128,American Express Company,Manager -Data Science,2-6 Yrs,N/A,Gurgaon/Gurugram,"Project management, SQL, Oracle"
129,Accenture Solutions Pvt Ltd,PPSM Sr Analyst-Reporting,5-8 Yrs,₹ 3.8 - 17.85L/yr (AmbitionBox estimate),Gurgaon/Gurugram,"SAP, Microsoft Power BI, predictive analytics"
130,Accenture Solutions Pvt Ltd,Analytics and Modelling Senior Analyst,1-3 Yrs,N/A,Bengaluru/Bangalore,"Power BI, Qlik Sense, Machine learning"
131,Accenture Solutions Pvt Ltd,Research Senior Analyst,2-5 Yrs,₹ 2.6 - 20L/yr (AmbitionBox estimate),Bengaluru/Bangalore,"Data analysis, Operations research, data analysis"
132,Accenture Solutions Pvt Ltd,Analytics and Modeling Specialist,5-10 Yrs,N/A,Bengaluru/Bangalore,"python, data analytics, data science"
133,Accenture Solutions Pvt Ltd,Marketing - 11,2-3 Yrs,N/A,Bengaluru/Bangalore,"Fallback Management, data science, Node.js"
134,American Express Company,Manager -Data Science,2-6 Yrs,N/A,Gurgaon/Gurugram,"Project management, SQL, Oracle"
135,Accenture Solutions Pvt Ltd,PPSM Sr Analyst-Reporting,5-8 Yrs,₹ 3.8 - 17.85L/yr (AmbitionBox estimate),Gurgaon/Gurugram,"SAP, Microsoft Power BI, predictive analytics"
136,Accenture Solutions Pvt Ltd,Analytics and Modelling Senior Analyst,1-3 Yrs,N/A,Bengaluru/Bangalore,"Power BI, Qlik Sense, Machine learning"
137,Shell India Markets Private Limited,Associate Data scientist,3-7 Yrs,₹ 11 - 14L/yr (AmbitionBox estimate),Chennai,"Power BI, SAP MM, SAP Business Process"
138,Accenture Solutions Pvt Ltd,Research Senior Analyst,2-5 Yrs,₹ 2.6 - 20L/yr (AmbitionBox estimate),Bengaluru/Bangalore,"Data analysis, Operations research, data analysis"
139,Accenture Solutions Pvt Ltd,Analytics and Modeling Specialist,5-10 Yrs,N/A,Bengaluru/Bangalore,"python, data analytics, data science"
140,Accenture Solutions Pvt Ltd,Marketing - 11,2-3 Yrs,N/A,Bengaluru/Bangalore,"Fallback Management, data science, Node.js"
141,American Express Company,Manager -Data Science,2-6 Yrs,N/A,Gurgaon/Gurugram,"Project management, SQL, Oracle"
142,Accenture Solutions Pvt Ltd,PPSM Sr Analyst-Reporting,5-8 Yrs,₹ 3.8 - 17.85L/yr (AmbitionBox estimate),Gurgaon/Gurugram,"SAP, Microsoft Power BI, predictive analytics"
143,Accenture Solutions Pvt Ltd,Analytics and Modelling Senior Analyst,1-3 Yrs,N/A,Bengaluru/Bangalore,"Power BI, Qlik Sense, Machine learning"
144,Shell India Markets Private Limited,Associate Data scientist,3-7 Yrs,₹ 11 - 14L/yr (AmbitionBox estimate),Chennai,"Power BI, SAP MM, SAP Business Process"
145,Walmart Labs,STAFF DATA SCIENTIST,9-10 Yrs,N/A,Bengaluru/Bangalore,"data science, Procurement, Consulting"
146,Accenture Solutions Pvt Ltd,Research Senior Analyst,2-5 Yrs,₹ 2.6 - 20L/yr (AmbitionBox estimate),Bengaluru/Bangalore,"Data analysis, Operations research, data analysis"
147,Accenture Solutions Pvt Ltd,Analytics and Modeling Specialist,5-10 Yrs,N/A,Bengaluru/Bangalore,"python, data analytics, data science"
148,Accenture Solutions Pvt Ltd,Marketing - 11,2-3 Yrs,N/A,Bengaluru/Bangalore,"Fallback Management, data science, Node.js"
149,American Express Company,Manager -Data Science,2-6 Yrs,N/A,Gurgaon/Gurugram,"Project management, SQL, Oracle"
150,Accenture Solutions Pvt Ltd,PPSM Sr Analyst-Reporting,5-8 Yrs,₹ 3.8 - 17.85L/yr (AmbitionBox estimate),Gurgaon/Gurugram,"SAP, Microsoft Power BI, predictive analytics"
151,Accenture Solutions Pvt Ltd,Analytics and Modelling Senior Analyst,1-3 Yrs,N/A,Bengaluru/Bangalore,"Power BI, Qlik Sense, Machine learning"
152,Shell India Markets Private Limited,Associate Data scientist,3-7 Yrs,₹ 11 - 14L/yr (AmbitionBox estimate),Chennai,"Power BI, SAP MM, SAP Business Process"
153,Walmart Labs,STAFF DATA SCIENTIST,9-10 Yrs,N/A,Bengaluru/Bangalore,"data science, Procurement, Consulting"
154,Accenture Solutions Pvt Ltd,Python (Programming Language) Application Developer,6-8 Yrs,₹ 6.5 - 20.5L/yr (AmbitionBox estimate),Pune,"data science, data reporting, CI/CD"
155,Accenture Solutions Pvt Ltd,Research Senior Analyst,2-5 Yrs,₹ 2.6 - 20L/yr (AmbitionBox estimate),Bengaluru/Bangalore,"Data analysis, Operations research, data analysis"
156,Accenture Solutions Pvt Ltd,Analytics and Modeling Specialist,5-10 Yrs,N/A,Bengaluru/Bangalore,"python, data analytics, data science"
157,Accenture Solutions Pvt Ltd,Marketing - 11,2-3 Yrs,N/A,Bengaluru/Bangalore,"Fallback Management, data science, Node.js"
158,American Express Company,Manager -Data Science,2-6 Yrs,N/A,Gurgaon/Gurugram,"Project management, SQL, Oracle"
159,Accenture Solutions Pvt Ltd,PPSM Sr Analyst-Reporting,5-8 Yrs,₹ 3.8 - 17.85L/yr (AmbitionBox estimate),Gurgaon/Gurugram,"SAP, Microsoft Power BI, predictive analytics"
160,Accenture Solutions Pvt Ltd,Analytics and Modelling Senior Analyst,1-3 Yrs,N/A,Bengaluru/Bangalore,"Power BI, Qlik Sense, Machine learning"
161,Shell India Markets Private Limited,Associate Data scientist,3-7 Yrs,₹ 11 - 14L/yr (AmbitionBox estimate),Chennai,"Power BI, SAP MM, SAP Business Process"
162,Walmart Labs,STAFF DATA SCIENTIST,9-10 Yrs,N/A,Bengaluru/Bangalore,"data science, Procurement, Consulting"
163,Accenture Solutions Pvt Ltd,Python (Programming Language) Application Developer,6-8 Yrs,₹ 6.5 - 20.5L/yr (AmbitionBox estimate),Pune,"data science, data reporting, CI/CD"
164,Accenture,Data Science Specialist,2-4 Yrs,₹ 16.25 - 16L/yr (AmbitionBox estimate),"Chennai, Pune, Mumbai
													+3 more","Business process, Product management, Change management"
165,Accenture Solutions Pvt Ltd,Computer Vision AI Platform Engineer,8-10 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Deep learning, Image processing"
166,Accenture Solutions Pvt Ltd,Computer Vision AI Platform Engineer,8-10 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Deep learning, Image processing"
167,Accenture Solutions Pvt Ltd,Computer Vision AI Platform Engineer,8-10 Yrs,N/A,Bengaluru/Bangalore,"Deep learning, Data Science, Team Handling"
168,Accenture Solutions Pvt Ltd,Computer Vision AI Platform Engineer,8-10 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Deep learning, Image processing"
169,Accenture Solutions Pvt Ltd,Computer Vision AI Platform Engineer,8-10 Yrs,N/A,Bengaluru/Bangalore,"Deep learning, Data Science, Team Handling"
170,Accenture Solutions Pvt Ltd,Analytics Senior Analyst - Data Science,5-8 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Architecture, data science"
171,Accenture Solutions Pvt Ltd,Computer Vision AI Platform Engineer,8-10 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Deep learning, Image processing"
172,Accenture Solutions Pvt Ltd,Computer Vision AI Platform Engineer,8-10 Yrs,N/A,Bengaluru/Bangalore,"Deep learning, Data Science, Team Handling"
173,Accenture Solutions Pvt Ltd,Analytics Senior Analyst - Data Science,5-8 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Architecture, data science"
174,Accenture Solutions Pvt Ltd,Analytics Senior Analyst - Data Science,5-8 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Architecture, data science"
175,Accenture Solutions Pvt Ltd,Computer Vision AI Platform Engineer,8-10 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Deep learning, Image processing"
176,Accenture Solutions Pvt Ltd,Computer Vision AI Platform Engineer,8-10 Yrs,N/A,Bengaluru/Bangalore,"Deep learning, Data Science, Team Handling"
177,Accenture Solutions Pvt Ltd,Analytics Senior Analyst - Data Science,5-8 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Architecture, data science"
178,Accenture Solutions Pvt Ltd,Analytics Senior Analyst - Data Science,5-8 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Architecture, data science"
179,Accenture Solutions Pvt Ltd,Analytics Specialist - Marketing and Customer Analytics,7-11 Yrs,₹ 13.1 - 17.3L/yr (AmbitionBox estimate),Mumbai,"Data Science, Supply chain, Google Analytics"
180,Accenture Solutions Pvt Ltd,Computer Vision AI Platform Engineer,8-10 Yrs,N/A,Bengaluru/Bangalore,"Data Science, Deep learning, Image processing"
181,Accenture Solutions Pvt Ltd,Computer Vision AI Platform Engineer,8-10 Yrs,N/A,Bengaluru/Bangalore,"Deep learning, Data Science, Team Handling"
